condition,true_class,replicate,population_size,hard_accuracy,coverage,selective_accuracy,evidence_sufficient
process_disturbance_2.60,process_disturbance,24,100,0.92,0.83,0.963855421686747,True
process_disturbance_2.60,process_disturbance,25,100,0.8,0.78,0.9615384615384616,False
process_disturbance_2.60,process_disturbance,26,100,0.86,0.73,0.9863013698630136,False
process_disturbance_2.60,process_disturbance,27,100,0.85,0.79,0.9620253164556962,False
process_disturbance_2.60,process_disturbance,28,100,0.89,0.79,0.9620253164556962,False
process_disturbance_2.60,process_disturbance,29,100,0.92,0.86,0.9883720930232558,True
process_disturbance_2.60,process_disturbance,30,100,0.92,0.82,1.0,True
process_disturbance_2.60,process_disturbance,31,100,0.93,0.84,0.9761904761904762,True
process_disturbance_2.60,process_disturbance,32,100,0.83,0.76,0.9736842105263158,False
process_disturbance_2.60,process_disturbance,33,100,0.88,0.82,0.9634146341463414,False
process_disturbance_2.60,process_disturbance,34,100,0.86,0.8,0.9625,False
process_disturbance_2.60,process_disturbance,35,100,0.88,0.87,0.9770114942528736,False
process_disturbance_2.60,process_disturbance,36,100,0.87,0.8,0.9625,False
process_disturbance_2.60,process_disturbance,37,100,0.86,0.76,0.9868421052631579,False
process_disturbance_2.60,process_disturbance,38,100,0.9,0.82,0.9634146341463414,True
process_disturbance_2.60,process_disturbance,39,100,0.89,0.84,0.9404761904761905,False
process_disturbance_2.60,process_disturbance,40,100,0.9,0.79,0.9746835443037974,False
process_disturbance_2.60,process_disturbance,41,100,0.83,0.73,0.9452054794520548,False
process_disturbance_2.60,process_disturbance,42,100,0.85,0.79,0.9746835443037974,False
process_disturbance_2.60,process_disturbance,43,100,0.86,0.83,0.9879518072289156,False
process_disturbance_2.60,process_disturbance,44,100,0.95,0.85,0.9882352941176471,True
process_disturbance_2.60,process_disturbance,45,100,0.86,0.75,0.9866666666666667,False
process_disturbance_2.60,process_disturbance,46,100,0.86,0.76,0.9868421052631579,False
process_disturbance_2.60,process_disturbance,47,100,0.83,0.8,0.9,False
process_disturbance_2.60,process_disturbance,48,100,0.86,0.76,0.9605263157894737,False
process_disturbance_2.60,process_disturbance,49,100,0.88,0.77,0.974025974025974,False
process_disturbance_2.60,process_disturbance,50,100,0.92,0.86,0.9767441860465116,True
process_disturbance_2.60,process_disturbance,51,100,0.8,0.78,0.9358974358974359,False
process_disturbance_2.60,process_disturbance,52,100,0.84,0.79,0.9620253164556962,False
process_disturbance_2.60,process_disturbance,53,100,0.85,0.81,0.9629629629629629,False
process_disturbance_2.60,process_disturbance,54,100,0.93,0.86,1.0,True
process_disturbance_2.60,process_disturbance,55,100,0.83,0.74,0.9594594594594594,False
process_disturbance_2.60,process_disturbance,56,100,0.9,0.84,0.9880952380952381,True
process_disturbance_2.60,process_disturbance,57,100,0.89,0.82,0.9878048780487805,False
process_disturbance_2.60,process_disturbance,58,100,0.86,0.84,0.9523809523809523,False
process_disturbance_2.60,process_disturbance,59,100,0.89,0.82,0.975609756097561,False
process_disturbance_2.60,process_disturbance,60,100,0.84,0.79,0.9620253164556962,False
process_disturbance_2.60,process_disturbance,61,100,0.88,0.76,0.9736842105263158,False
process_disturbance_2.60,process_disturbance,62,100,0.86,0.8,0.975,False
process_disturbance_2.60,process_disturbance,63,100,0.91,0.84,0.9880952380952381,True
process_disturbance_2.60,process_disturbance,64,100,0.88,0.79,0.9620253164556962,False
process_disturbance_2.60,process_disturbance,65,100,0.81,0.77,0.935064935064935,False
process_disturbance_2.60,process_disturbance,66,100,0.9,0.85,0.9764705882352941,True
process_disturbance_2.60,process_disturbance,67,100,0.87,0.83,0.9759036144578314,False
process_disturbance_2.60,process_disturbance,68,100,0.89,0.82,0.9634146341463414,False
process_disturbance_2.60,process_disturbance,69,100,0.89,0.83,0.9518072289156626,False
process_disturbance_2.60,process_disturbance,70,100,0.88,0.81,0.9753086419753086,False
process_disturbance_2.60,process_disturbance,71,100,0.89,0.76,0.9736842105263158,False
process_disturbance_2.60,process_disturbance,72,100,0.9,0.82,0.975609756097561,True
process_disturbance_2.60,process_disturbance,73,100,0.83,0.77,0.961038961038961,False
process_disturbance_2.60,process_disturbance,74,100,0.85,0.82,0.926829268292683,False
process_disturbance_2.60,process_disturbance,75,100,0.88,0.79,0.9873417721518988,False
process_disturbance_2.60,process_disturbance,76,100,0.83,0.73,0.958904109589041,False
process_disturbance_2.60,process_disturbance,77,100,0.86,0.81,0.9629629629629629,False
process_disturbance_2.60,process_disturbance,78,100,0.85,0.76,0.9473684210526315,False
process_disturbance_2.60,process_disturbance,79,100,0.89,0.86,0.9534883720930233,False
process_disturbance_2.60,process_disturbance,80,100,0.86,0.8,0.975,False
process_disturbance_2.60,process_disturbance,81,100,0.91,0.87,0.9540229885057471,True
process_disturbance_2.60,process_disturbance,82,100,0.9,0.82,0.975609756097561,True
process_disturbance_2.60,process_disturbance,83,100,0.86,0.8,0.95,False
process_disturbance_2.60,process_disturbance,84,100,0.88,0.84,0.9523809523809523,False
process_disturbance_2.60,process_disturbance,85,100,0.87,0.86,0.9767441860465116,False
process_disturbance_2.60,process_disturbance,86,100,0.94,0.9,0.9777777777777777,True
process_disturbance_2.60,process_disturbance,87,100,0.92,0.84,1.0,True
process_disturbance_2.60,process_disturbance,88,100,0.84,0.79,0.9746835443037974,False
process_disturbance_2.60,process_disturbance,89,100,0.92,0.8,1.0,True
process_disturbance_2.60,process_disturbance,90,100,0.86,0.77,0.987012987012987,False
process_disturbance_2.60,process_disturbance,91,100,0.84,0.77,0.974025974025974,False
process_disturbance_2.60,process_disturbance,92,100,0.88,0.79,0.9873417721518988,False
process_disturbance_2.60,process_disturbance,93,100,0.86,0.77,0.961038961038961,False
process_disturbance_2.60,process_disturbance,94,100,0.87,0.77,0.961038961038961,False
process_disturbance_2.60,process_disturbance,95,100,0.84,0.74,0.9864864864864865,False
process_disturbance_2.60,process_disturbance,96,100,0.9,0.81,1.0,True
process_disturbance_2.60,process_disturbance,97,100,0.88,0.85,0.9529411764705882,False
process_disturbance_2.60,process_disturbance,98,100,0.89,0.79,0.9746835443037974,False
process_disturbance_2.60,process_disturbance,99,100,0.94,0.85,0.9882352941176471,True
process_disturbance_2.90,process_disturbance,0,100,0.94,0.85,1.0,True
process_disturbance_2.90,process_disturbance,1,100,0.94,0.91,0.978021978021978,True
process_disturbance_2.90,process_disturbance,2,100,0.94,0.92,0.9782608695652174,True
process_disturbance_2.90,process_disturbance,3,100,0.93,0.88,0.9772727272727273,True
process_disturbance_2.90,process_disturbance,4,100,0.9,0.86,0.9883720930232558,True
process_disturbance_2.90,process_disturbance,5,100,0.96,0.93,0.989247311827957,True
process_disturbance_2.90,process_disturbance,6,100,0.94,0.87,1.0,True
process_disturbance_2.90,process_disturbance,7,100,0.97,0.91,1.0,True
process_disturbance_2.90,process_disturbance,8,100,0.95,0.91,0.9560439560439561,True
process_disturbance_2.90,process_disturbance,9,100,0.96,0.87,1.0,True
process_disturbance_2.90,process_disturbance,10,100,0.95,0.9,1.0,True
process_disturbance_2.90,process_disturbance,11,100,0.94,0.91,0.967032967032967,True
process_disturbance_2.90,process_disturbance,12,100,0.94,0.94,0.9893617021276596,True
process_disturbance_2.90,process_disturbance,13,100,0.97,0.93,1.0,True
process_disturbance_2.90,process_disturbance,14,100,0.94,0.92,0.9891304347826086,True
process_disturbance_2.90,process_disturbance,15,100,0.9,0.9,0.9777777777777777,True
process_disturbance_2.90,process_disturbance,16,100,0.95,0.89,1.0,True
process_disturbance_2.90,process_disturbance,17,100,0.93,0.88,1.0,True
process_disturbance_2.90,process_disturbance,18,100,0.97,0.9,1.0,True
process_disturbance_2.90,process_disturbance,19,100,0.94,0.88,0.9886363636363636,True
process_disturbance_2.90,process_disturbance,20,100,0.91,0.88,0.9886363636363636,True
process_disturbance_2.90,process_disturbance,21,100,0.97,0.94,1.0,True
process_disturbance_2.90,process_disturbance,22,100,0.89,0.85,0.9882352941176471,False
process_disturbance_2.90,process_disturbance,23,100,0.87,0.87,0.9655172413793104,False
process_disturbance_2.90,process_disturbance,24,100,0.94,0.89,0.9662921348314607,True
process_disturbance_2.90,process_disturbance,25,100,0.9,0.89,0.9550561797752809,True
process_disturbance_2.90,process_disturbance,26,100,0.94,0.92,0.9456521739130435,False
process_disturbance_2.90,process_disturbance,27,100,0.9,0.83,0.963855421686747,True
process_disturbance_2.90,process_disturbance,28,100,0.95,0.92,0.9891304347826086,True
process_disturbance_2.90,process_disturbance,29,100,0.96,0.93,0.978494623655914,True
process_disturbance_2.90,process_disturbance,30,100,0.96,0.91,0.978021978021978,True
process_disturbance_2.90,process_disturbance,31,100,0.91,0.88,0.9886363636363636,True
process_disturbance_2.90,process_disturbance,32,100,0.92,0.83,0.9879518072289156,True
process_disturbance_2.90,process_disturbance,33,100,0.97,0.94,0.9893617021276596,True
process_disturbance_2.90,process_disturbance,34,100,0.93,0.91,0.967032967032967,True
process_disturbance_2.90,process_disturbance,35,100,0.94,0.86,1.0,True
process_disturbance_2.90,process_disturbance,36,100,0.95,0.86,1.0,True
process_disturbance_2.90,process_disturbance,37,100,0.95,0.93,0.989247311827957,True
process_disturbance_2.90,process_disturbance,38,100,0.92,0.91,0.978021978021978,True
process_disturbance_2.90,process_disturbance,39,100,0.97,0.9,1.0,True
process_disturbance_2.90,process_disturbance,40,100,0.93,0.89,0.9887640449438202,True
process_disturbance_2.90,process_disturbance,41,100,0.91,0.81,1.0,True
process_disturbance_2.90,process_disturbance,42,100,0.91,0.91,0.967032967032967,True
process_disturbance_2.90,process_disturbance,43,100,0.96,0.92,0.9782608695652174,True
process_disturbance_2.90,process_disturbance,44,100,0.96,0.91,0.989010989010989,True
process_disturbance_2.90,process_disturbance,45,100,0.93,0.89,0.9775280898876404,True
process_disturbance_2.90,process_disturbance,46,100,0.96,0.97,0.9896907216494846,True
process_disturbance_2.90,process_disturbance,47,100,0.96,0.95,0.9894736842105263,True
process_disturbance_2.90,process_disturbance,48,100,0.95,0.94,0.9893617021276596,True
process_disturbance_2.90,process_disturbance,49,100,0.93,0.86,0.9651162790697675,True
process_disturbance_2.90,process_disturbance,50,100,0.93,0.9,0.9555555555555556,True
