condition,true_class,seed,classification_correct,classification_margin,score_spread,delta_event_vs_pre_nis,delta_post_vs_pre_nis,recovery_ratio_nis,event_max_nis,post_longest_nis_run_above_1,delta_event_vs_pre_autocorrelation,delta_post_vs_pre_autocorrelation,parameter_shift_post_vs_pre,post_cumulative_abs_parameter_update,evidence_sufficient
process_disturbance_2.25,process_disturbance,1036,True,0.19931784880110948,0.6443949820811625,0.9920721826360287,-0.2653391223950582,0.3418184026560431,10.15654377190128,1,0.1765837576124938,0.13313424112248512,-0.001285489025385056,0.04634804291159923,False
process_disturbance_2.25,process_disturbance,1037,True,0.2758731234036069,1.048844474106498,0.7110152497245853,-0.27267479657926097,0.38676383024058414,9.358051920024241,1,0.6467149089998094,0.3420089750513589,-0.003296105391796811,0.043351588500759965,False
process_disturbance_2.25,process_disturbance,1038,True,0.0724219704914747,0.4824435481516107,1.0491637882278508,-0.22933458390358008,0.3987538552923205,9.312346703494393,3,0.1616964447232661,0.018755584912729675,-0.0006399500272573633,0.04810893820918707,False
process_disturbance_2.25,process_disturbance,1039,True,0.279475492070133,0.6741050796577447,0.9627901804876068,-0.16766415536903845,0.42209891602211747,12.30451660286385,3,0.09743926124689326,0.11549472478480938,-0.0003610439845236346,0.055863200973859745,False
process_disturbance_2.25,process_disturbance,1040,True,3.537465558805652,6.267923327866679,3.459434577358196,0.5963843625630323,0.30575703162797907,36.96225927018551,2,0.2352446265536085,-0.1987145907618578,0.0024012878081740574,0.07628558394141877,False
process_disturbance_2.25,process_disturbance,1041,True,1.0059459189435045,2.637877727447322,1.9388659595216635,0.19272698237673502,0.34490204994477697,15.461067178595139,2,0.5757451848172288,0.24410521859939316,0.003239146190098463,0.06411821819290182,False
process_disturbance_2.25,process_disturbance,1042,True,0.15758452820234714,1.1718496894711343,1.0550862523886306,-0.5362088017827427,0.2578669202547046,6.984139412248218,2,0.5918639810661261,0.36554529781478784,0.0019804112244851124,0.04677499656010451,False
process_disturbance_2.25,process_disturbance,1043,False,0.2518952652803663,0.8033994066442813,0.8315815829298171,0.5844779343092078,0.8163115667652909,3.4269561881156347,1,0.563974356235031,0.1900141579810257,0.001558776858889499,0.06956907258637962,False
process_disturbance_2.25,process_disturbance,1044,True,0.7592990204930916,2.3069163787582827,1.5856346425837902,0.10085475664191346,0.340610415924279,13.650366466553058,1,0.594672068024052,0.19827395900083172,-0.0009151683224101204,0.0531643138942138,False
process_disturbance_2.25,process_disturbance,1045,True,1.57674462902267,3.6066875637014655,2.0561151265459072,-0.3885800876698994,0.2028340675244436,18.37379079004101,2,0.8437022731713428,0.2592596143706372,-0.0011957184915646346,0.051525363167803005,False
process_disturbance_2.25,process_disturbance,1046,True,2.012400991520225,4.483200860374974,3.166699289266892,0.8538146142091253,0.3861282411749857,20.9914494922738,3,0.2596232419643573,-0.2646540776332524,0.0005293404690801529,0.08524272067552174,False
process_disturbance_2.25,process_disturbance,1047,True,1.0167282173284908,2.3019205580816946,1.514610837518672,-0.10266211117343882,0.36150084526460735,17.762098673687593,1,0.4022569807717387,0.1637883758581912,-0.0013711631207685704,0.050935282506785154,False
process_disturbance_2.25,process_disturbance,1048,False,0.18426127650031776,1.1807295957285993,1.25050762444533,0.6318638218799114,0.6616870441045862,9.123470876867817,2,0.5332075251573694,0.005476763242277777,0.00029728909331350195,0.07172348850306895,False
process_disturbance_2.25,process_disturbance,1049,True,2.1174792703085936,4.612419693354988,2.6044153820277085,0.398317097909781,0.29594673036473595,24.093092896802734,2,0.738486186075817,0.5604694306670044,0.0032771127449383597,0.05635675100180422,False
process_disturbance_2.25,process_disturbance,1050,True,1.8179736019788142,4.054458506370738,2.570790992920823,0.10817055262072395,0.25911293958802006,19.525316549024012,4,0.32290735474719195,0.0035542192666978,0.0016359024838608072,0.059029879672136,False
process_disturbance_2.25,process_disturbance,1051,False,0.34958602493126256,0.6811363764348556,1.2569088160960153,0.5336076915086285,0.6436199548876853,6.027598541913267,3,0.1398107618925581,-0.17802610277557887,0.0042902701543792165,0.07111751494584295,False
process_disturbance_2.25,process_disturbance,1052,True,3.359293126063359,6.090771987322741,3.193237832814143,-0.13037160904056844,0.24831035562574402,34.39254914755946,1,0.6064035258767277,0.38290068585085285,0.00017396352164888995,0.061392459138437355,False
process_disturbance_2.25,process_disturbance,1053,True,1.45676003285459,3.03055375833367,2.3168255094086034,0.2801894542625988,0.33137462740346657,17.78617015119739,2,-0.0753181788416303,-0.5697073316073796,0.0006895220962283011,0.06184697545786841,False
process_disturbance_2.25,process_disturbance,1054,True,1.0566836854939217,2.423074155962844,1.5860482765953376,0.061006662534518474,0.38609633223226797,18.516507762859817,3,0.39220323261419043,0.2024716282537897,-0.0012972017780920053,0.061286269961145175,False
process_disturbance_2.25,process_disturbance,1055,True,0.7438396478755069,1.8187764270361826,1.5280930461968198,-0.13225327935259568,0.3692210971351331,14.645527468700369,3,0.4424938504000744,-0.311884236078464,-0.0011665533195487354,0.062343180312629136,False
process_disturbance_2.25,process_disturbance,1056,True,0.3926753462505168,1.4121111891032072,1.3386573711398877,0.13386926769494056,0.45923250834026086,13.557501263346072,3,0.2852846618724514,-0.3553190014949723,0.0027119034722846713,0.06408330421551406,False
