regime,seed,pre_parameter_mean,event_parameter_mean,post_parameter_mean,parameter_shift_event_vs_pre,parameter_shift_post_vs_pre,final_parameter_estimate,event_mean_abs_parameter_update,post_mean_abs_parameter_update,event_cumulative_abs_parameter_update,post_cumulative_abs_parameter_update,event_mean_lambda,post_mean_lambda,event_mean_effective_q,post_mean_effective_q,event_mean_nis,post_mean_nis
structural_change,60,0.9194349384916108,0.865972993321463,0.8060729726704123,-0.053461945170147795,-0.11336196582119851,0.8026911805104209,0.009362710862503178,0.0066523905516824005,0.09362710862503176,0.13304781103364802,0.17510187484409295,0.12029144312965107,0.3226526915952621,0.07733502348210769,2.470364134405495,0.943627810951757
structural_change,61,0.921945552332031,0.8619520938786956,0.8120004025918689,-0.05999345845333537,-0.10994514974016212,0.8078284992634198,0.009714939566124903,0.006443001843285224,0.09714939566124903,0.1288600368657045,0.18110602999728398,0.12230182269383202,0.47154421176237765,0.05844854141973113,3.200954927218514,0.8710338006748631
structural_change,62,0.9269435420731846,0.8617567054020836,0.7966329978655358,-0.06518683667110103,-0.13031054420764887,0.8030688932025486,0.009782682023988567,0.0060608875803172,0.09782682023988568,0.12121775160634399,0.16911315980997324,0.10799801399537019,0.2729001258157568,0.053843967798991615,2.485652340213095,0.6757495682776438
structural_change,63,0.921128317044924,0.8643512714152329,0.8032740440718936,-0.0567770456296911,-0.11785427297303042,0.7964856455211649,0.009390253079516573,0.005470075503644676,0.09390253079516575,0.10940151007289349,0.1687727246906785,0.09459217402535708,0.3004821438545387,0.04529070660727922,2.350634835069577,0.7246024803689739
structural_change,64,0.9164909308031287,0.8666554236696995,0.8048847203674738,-0.04983550713342921,-0.11160621043565488,0.8049544032721547,0.009372632442661025,0.005569007057886111,0.09372632442661025,0.11138014115772223,0.17474639662185643,0.11905211884617092,0.27869678093139955,0.0600722949269633,2.3269670544417616,0.6979567422691639
structural_change,65,0.9231437941885196,0.8635294646033286,0.8028916116163791,-0.05961432958519097,-0.12025218257214043,0.8180894322513402,0.009143420732959456,0.00912860989716989,0.09143420732959455,0.1825721979433978,0.1710719627985916,0.1372927113874623,0.34663810493304975,0.12071450291871548,2.4750934334742647,1.308656911563339
structural_change,66,0.9219381298453267,0.8689105333627308,0.8094451252778341,-0.05302759648259592,-0.11249300456749267,0.8143698869167737,0.009221095238612505,0.007697415536275495,0.09221095238612506,0.15394831072550996,0.16114100617129135,0.1331057625244151,0.2605847550086653,0.126776518669412,2.318153785774997,1.3499015364843552
structural_change,67,0.917530042673488,0.8745981739642587,0.8094180567781337,-0.04293186870922938,-0.10811198589535431,0.7876013743351347,0.008968933164785552,0.005395024015079152,0.08968933164785552,0.10790048030158306,0.1716224264912841,0.09144604788313111,0.43063892779739493,0.0338888084451971,2.8622516895090095,0.6574215685891925
structural_change,68,0.9229945576637998,0.8724025465003702,0.8076065857949412,-0.050592011163429595,-0.11538797186885863,0.8061640899778297,0.011147829472820172,0.007916793546902324,0.1114782947282017,0.15833587093804646,0.17141688110508846,0.11916700752412492,0.4519891379124595,0.0921733903545665,3.281203539876046,1.1704840961334937
structural_change,69,0.9209267385518433,0.8681466230672858,0.7979795341728286,-0.05278011548455741,-0.12294720437901463,0.7952738027935311,0.007769838645684431,0.006782067589327015,0.0776983864568443,0.13564135178654033,0.1680691310430774,0.10787849598694914,0.35285261505804255,0.03268183752924358,2.3451461716770052,0.7734074626352868
structural_change,70,0.9209508562155193,0.8591782753891902,0.807497867208012,-0.06177258082632908,-0.11345298900750733,0.8031481767876772,0.009397708754317339,0.005075758248105081,0.09397708754317337,0.10151516496210163,0.1684916894822889,0.08523804471457026,0.27109502865285534,0.031566526894976875,2.314261751761557,0.5770792919498648
structural_change,71,0.917535639738587,0.870016775188297,0.8011562153512733,-0.047518864550289974,-0.11637942438731363,0.7938313232597858,0.009402007789579982,0.008330845655767437,0.09402007789579982,0.16661691311534876,0.17339180524156717,0.12669898441102467,0.4715237324155811,0.11295944152300261,3.2540434904510036,1.2186861406666714
structural_change,72,0.9226435326250483,0.8662700584679746,0.8010069427776225,-0.05637347415707372,-0.12163658984742576,0.7930287466441698,0.009841892447522475,0.007728468259348007,0.09841892447522477,0.15456936518696013,0.16560138940282637,0.13368026941176409,0.39515618680757814,0.1079295083240378,3.1306269864813956,1.0692504822707634
structural_change,73,0.9189844793334316,0.8649012159328595,0.8029725357078323,-0.054083263400572124,-0.1160119436255993,0.7996857528865701,0.009879864315487652,0.0075051500502499886,0.09879864315487652,0.15010300100499982,0.1751856879814869,0.12173312576596806,0.325617832486823,0.05342551812183523,2.644564140592852,0.9497442014692398
structural_change,74,0.9203234090477457,0.8656467142032682,0.8069568643758297,-0.05467669484447746,-0.11336654467191598,0.7875153795818506,0.008553645579745067,0.008168570630612187,0.08553645579745064,0.16337141261224375,0.16318491213743888,0.12748575659897138,0.34490926606160394,0.06860306270785115,2.6190181728090636,1.0991426617529674
structural_change,75,0.9169758505445682,0.8625671474930542,0.8110319096740637,-0.05440870305151402,-0.10594394087050452,0.793374948002286,0.00953904740224696,0.009092879056357216,0.09539047402246957,0.18185758112714429,0.16520606412353178,0.13477919809559905,0.2726673872821633,0.17214969063054444,2.3688996050598274,1.5863080625275554
structural_change,76,0.9199668647635522,0.868396163046994,0.808165865695794,-0.0515707017165582,-0.1118009990677582,0.795127252434986,0.00855079223719309,0.005555932067432563,0.08550792237193088,0.11111864134865128,0.16214610847442923,0.10300231354441644,0.2847364174559228,0.06370633602730373,2.2148365789615774,0.7105650109673182
structural_change,77,0.9219852343208023,0.8720122773748843,0.806070247499558,-0.04997295694591797,-0.11591498682124424,0.7707136807173972,0.009916076023101666,0.011954265529854322,0.09916076023101666,0.2390853105970864,0.17427453071675597,0.15038266160390784,0.571102903258594,0.15862397904854372,3.871170148033554,1.5572168928195809
structural_change,78,0.9185577083682082,0.8579818179802949,0.8046046857257024,-0.06057589038791322,-0.11395302264250573,0.8033525444392529,0.009918070872885622,0.007576129109280137,0.09918070872885623,0.15152258218560274,0.17073038495408516,0.12396782620777971,0.2664166358720825,0.053078277408761594,2.4107664329562843,0.974900483650485
