block,generation_seed,test_index,predicted_risk,predicted_loss_k1,predicted_loss_k2,predicted_loss_k3,predicted_loss_spread,true_loss_k1,true_loss_k2,true_loss_k3,true_best_loss,true_loss_spread,true_best_action,true_responsive_action,true_safe_action_count,primary_safe_action_count,support_safe_action_count,primary_action,support_action,primary_regret,support_regret,support_under,support_over,support_distance_k1,support_distance_k2,support_distance_k3,support_distance_selected,safety_score_selected,downside_score_selected,context_benefit_probability,context_release_probability,context_anchor_age,context_trigger_score,context_feature_distance,context_current_mismatch_indicator,context_current_parameter_estimate
block_086,44011,20,0.013382424172562727,0.21113465989842523,0.23186945304498235,0.2341819164292291,0.02304725653080386,0.34505611039705286,0.25280591190840723,0.25280591190840723,0.25280591190840723,0.09225019848864563,2,3,1,1,1,3,3,0.0,0.0,0,1,3.8863487818106583,3.8863487818106583,3.8863487818106583,3.8863487818106583,0.8399806258178049,0.0,0.7403031408698473,0.3272125750380363,14.0,10.094697402123954,1.2177799863223238,1.2337825057103693,0.9298798275133423
block_086,44011,21,0.022386656800733817,0.11056034228469423,0.09808203156395473,0.08910756923498349,0.021452773049710744,0.24830283293830052,0.15605263444965492,0.15605263444965492,0.15605263444965492,0.0922501984886456,2,3,1,1,1,3,3,0.0,0.0,0,1,2.9037614925634463,2.9037614925634463,2.9037614925634463,2.9037614925634463,0.9755685868931123,0.0,0.7274443265093598,0.3387375892020817,24.0,10.094697402123954,1.04645863271857,0.9864174016844783,0.9113114714070345
block_086,44011,22,0.023627043744148892,0.09626289787524367,0.0821869280508502,0.0929432810609565,0.014075969824393464,0.18662810956250833,0.09437791107386273,0.09437791107386273,0.09437791107386273,0.0922501984886456,2,2,2,1,1,3,3,0.0,0.0,0,1,2.5937756601278816,2.5937756601278816,2.5937756601278816,2.5937756601278816,0.9621558809970413,0.0,0.7008940624857781,0.2878173857223059,34.0,10.094697402123954,0.972334002939996,0.7853762454516239,0.9208716352357627
block_086,44011,23,0.05382054842104664,0.09956877910260661,0.06592241178885061,0.06583745889012636,0.03373132021248025,0.14175656294467143,0.04950636445602582,0.04950636445602582,0.04950636445602582,0.0922501984886456,2,3,1,1,1,3,3,0.0,0.0,0,1,2.658735785389875,2.658735785389875,2.658735785389875,2.658735785389875,0.9527033089796569,0.0,0.6207047123727785,0.5001081487475403,54.0,10.094697402123954,0.7264427548979226,0.22127128115814237,0.9155611054463236
block_086,44011,24,0.03215342667445782,0.16416283758780886,0.1533066429020439,0.16843361672756035,0.015126973825516449,0.3561514368854949,0.32472147041001975,0.32472147041001975,0.32472147041001975,0.031429966475475135,2,2,2,1,1,3,3,0.0,0.0,0,1,2.067357590990343,2.067357590990343,2.067357590990343,2.067357590990343,0.9975378787878788,0.0,0.693605021950602,0.42476451496601664,15.0,7.045171433748348,0.8390861169154383,0.003943184481061594,0.915692202065791
block_086,44011,25,0.03388567898249161,0.1268214506160617,0.09111508506783668,0.08781131297159682,0.039010137644464885,0.2520361044877076,0.2206061380122324,0.2206061380122324,0.2206061380122324,0.03142996647547519,2,3,1,1,1,3,3,0.0,0.0,0,1,1.8789142883044334,1.8789142883044334,1.8789142883044334,1.8789142883044334,0.9866227515760589,0.0,0.7172670409564033,0.3783113074310456,25.0,7.045171433748348,0.7211837165789058,0.2600189912063255,0.9209888033631027
block_086,44011,26,0.051301495560840994,0.1202660037908732,0.09190701425313344,0.11361771224196664,0.028358989537739757,0.14519386483623772,0.11376389836076253,0.11376389836076253,0.11376389836076253,0.03142996647547519,2,2,2,1,1,3,3,0.0,0.0,0,1,2.5110009431072773,2.5110009431072773,2.5110009431072773,2.5110009431072773,0.7767992975861785,0.0,0.551174479931863,0.6630230375646833,45.0,7.045171433748348,0.4890386037862158,0.3327439467095681,0.9224154399139832
block_086,44011,27,0.020883723536674514,0.15082384008831412,0.172548883231616,0.18113967123626054,0.03031583114794642,0.2249138255576424,0.15730952952616084,0.15730952952616084,0.15730952952616084,0.06760429603148155,2,3,1,1,1,3,3,0.0,0.0,0,1,3.864826742821537,3.864826742821537,3.864826742821537,3.864826742821537,0.9149481514597148,0.0,0.6970365588607107,0.47101195742212204,5.0,4.655178406865872,0.783196539532002,0.6577698947269881,0.9143273059685304
block_086,44011,28,0.017528728259675882,0.15358174854052092,0.2026328992564557,0.23154044672435317,0.07795869818383225,0.1513602022961199,0.08375590626463837,0.08375590626463837,0.08375590626463837,0.06760429603148153,2,1,1,1,1,1,1,0.06760429603148153,0.06760429603148153,1,0,5.681618817832347,5.681618817832347,5.681618817832347,5.681618817832347,0.7633914592352099,0.03338372399392208,0.7224701094041944,0.400623148224405,15.0,4.655178406865872,0.7646303060368883,0.062224151986722855,0.9290061425991959
block_086,44011,29,0.04013991226181677,0.10848883189883747,0.0810828077230819,0.09915687268801335,0.027406024175755564,0.10577912924262814,0.03817483321114662,0.03817483321114662,0.03817483321114662,0.06760429603148152,2,2,2,1,1,3,3,0.0,0.0,0,1,3.0625071737030196,3.0625071737030196,3.0625071737030196,3.0625071737030196,0.8193090836732283,0.0,0.6015513046157648,0.6452078901419201,35.0,4.655178406865872,0.584169195652379,0.6185839533744137,0.9189179762454539
block_086,44011,30,0.04054357384831718,0.17763948183911424,0.16526696359929105,0.15136967272242544,0.026269809116688803,0.11150607593245106,0.11150607593245106,0.11150607593245106,0.11150607593245106,0.0,1,3,1,1,1,3,3,0.0,0.0,0,1,2.2400016752681062,2.2400016752681062,2.2400016752681062,2.2400016752681062,0.9913762782916008,0.0,0.7828225347149895,0.33610158079696373,8.0,6.361122938861032,1.025092184511581,0.6273573298917035,0.9204493720797777
