trial,audit_rows,poison_rows_recovered,unsafe_selected,total_regret
306,164,5,217,10.620494866629736
307,164,6,217,10.620494866629736
308,164,7,217,10.620494866629736
309,164,10,217,10.620494866629736
310,164,5,217,10.620494866629736
311,164,7,217,10.620494866629736
312,164,8,217,10.620494866629736
313,164,9,217,10.620494866629736
314,164,6,217,10.620494866629736
315,164,4,217,10.620494866629736
316,164,8,217,10.620494866629736
317,164,8,217,10.620494866629736
318,164,7,217,10.620494866629736
319,164,9,217,10.620494866629736
320,164,4,217,10.620494866629736
321,164,9,217,10.620494866629736
322,164,7,217,10.620494866629736
323,164,7,217,10.620494866629736
324,164,5,217,10.620494866629736
325,164,5,217,10.620494866629736
326,164,6,217,10.620494866629736
327,164,4,217,10.620494866629736
328,164,5,217,10.620494866629736
329,164,9,217,10.620494866629736
330,164,2,217,10.620494866629736
331,164,9,217,10.620494866629736
332,164,4,217,10.620494866629736
333,164,8,217,10.620494866629736
334,164,6,217,10.620494866629736
335,164,9,217,10.620494866629736
336,164,12,217,10.620494866629736
337,164,8,217,10.620494866629736
338,164,9,217,10.620494866629736
339,164,1,217,10.620494866629736
340,164,5,217,10.620494866629736
341,164,7,217,10.620494866629736
342,164,4,217,10.620494866629736
343,164,5,217,10.620494866629736
344,164,7,217,10.620494866629736
345,164,9,217,10.620494866629736
346,164,6,217,10.620494866629736
347,164,8,217,10.620494866629736
348,164,8,217,10.620494866629736
349,164,2,217,10.620494866629736
350,164,7,217,10.620494866629736
351,164,6,217,10.620494866629736
352,164,7,217,10.620494866629736
353,164,3,217,10.620494866629736
354,164,7,217,10.620494866629736
355,164,6,217,10.620494866629736
356,164,6,217,10.620494866629736
357,164,3,217,10.620494866629736
358,164,5,217,10.620494866629736
359,164,3,217,10.620494866629736
360,164,6,217,10.620494866629736
361,164,9,217,10.620494866629736
362,164,10,217,10.620494866629736
363,164,4,217,10.620494866629736
364,164,6,217,10.620494866629736
365,164,8,217,10.620494866629736
366,164,9,217,10.620494866629736
367,164,8,217,10.620494866629736
368,164,8,217,10.620494866629736
369,164,8,217,10.620494866629736
370,164,6,217,10.620494866629736
371,164,5,217,10.620494866629736
372,164,10,217,10.620494866629736
373,164,3,217,10.620494866629736
374,164,8,217,10.620494866629736
375,164,5,217,10.620494866629736
376,164,5,217,10.620494866629736
377,164,3,217,10.620494866629736
378,164,10,217,10.620494866629736
379,164,5,217,10.620494866629736
380,164,3,217,10.620494866629736
381,164,8,217,10.620494866629736
382,164,6,217,10.620494866629736
383,164,7,217,10.620494866629736
384,164,3,217,10.620494866629736
385,164,10,217,10.620494866629736
386,164,7,217,10.620494866629736
387,164,6,217,10.620494866629736
388,164,8,217,10.620494866629736
389,164,5,217,10.620494866629736
390,164,4,217,10.620494866629736
391,164,7,217,10.620494866629736
392,164,8,217,10.620494866629736
393,164,7,217,10.620494866629736
394,164,5,217,10.620494866629736
395,164,6,217,10.620494866629736
396,164,5,217,10.620494866629736
397,164,9,217,10.620494866629736
398,164,5,217,10.620494866629736
399,164,7,217,10.620494866629736
400,164,7,217,10.620494866629736
401,164,9,217,10.620494866629736
402,164,9,217,10.620494866629736
403,164,9,217,10.620494866629736
404,164,5,217,10.620494866629736
405,164,5,217,10.620494866629736
406,164,5,217,10.620494866629736
407,164,5,217,10.620494866629736
408,164,5,217,10.620494866629736
409,164,6,217,10.620494866629736
410,164,7,217,10.620494866629736
