population,generation_seed,test_index,action,action2_indicator,harmful_target,context_support_distance,action_support_distance,action_support_minus_context,predicted_action_loss,predicted_relative_loss
population_071_110,44105,23,2,1,0,1.5487310191095687,1.9808952998365044,0.4321642807269357,0.18521486164830867,0.0
population_071_110,44105,24,2,1,0,1.7142866051762287,1.932965383823531,0.21867877864730234,0.17970325830346873,0.0
population_071_110,44105,30,2,1,0,1.592447362683024,1.8968656165964988,0.30441825391347477,0.14672855209972435,0.0
population_071_110,44105,48,2,1,0,2.0523787291675566,2.0825785479026386,0.03019981873508204,0.14070578828245123,0.0
population_071_110,44106,14,2,1,0,1.641399288896702,1.951234608524881,0.3098353196281791,0.18121179034533585,0.0
population_071_110,44107,5,2,1,0,1.9360031172450995,2.4199617689353543,0.48395865169025476,0.18449756941351766,0.0
population_071_110,44107,20,2,1,0,1.65842941828815,1.9401698685104272,0.2817404502222771,0.17412182727968453,0.0
population_071_110,44107,29,2,1,0,1.5376676785821872,2.0278726268647804,0.4902049482825932,0.16716528753088827,0.0
population_071_110,44107,45,2,1,0,1.3928886276500878,1.937889862764957,0.5450012351148692,0.126513313326624,0.0
population_071_110,44108,5,2,1,0,1.740448922673422,2.0301478475954426,0.28969892492202054,0.1897321799060999,0.0
population_071_110,44108,15,2,1,0,1.8135468682515896,2.218230792703877,0.4046839244522873,0.20120201905818605,0.0
population_071_110,44108,20,2,1,0,1.7271124750061344,1.8950807453434464,0.167968270337312,0.17853100624338655,0.0
population_071_110,44108,21,2,1,0,1.5872201097223904,1.8475550856639522,0.26033497594156185,0.16794430742980657,0.0
population_071_110,44108,29,2,1,0,1.5987421969945654,1.9632505207332631,0.3645083237386977,0.17414086821420052,0.0
population_071_110,44108,38,1,0,1,1.616281305475362,1.878579273659965,0.26229796818460294,0.14239371172106666,0.0
population_071_110,44108,55,2,1,0,1.1720621373358528,1.8255448402424581,0.6534827029066053,0.1535247148225067,0.005295298521484748
population_071_110,44109,2,2,1,0,1.737137855443963,2.0458601866513213,0.30872233120735837,0.19010283183990243,0.0043170401670606096
population_071_110,44109,12,2,1,0,1.8554955346377398,2.297047075995556,0.4415515413578164,0.20532067885580643,0.00583065641664926
population_071_110,44109,17,2,1,0,1.4840266540824276,1.805882162640352,0.32185550855792444,0.17356502319497447,0.0
population_071_110,44109,18,2,1,0,1.696176661272752,2.2892133406321564,0.5930366793594044,0.16091579936958028,0.0
population_071_110,44109,26,2,1,0,1.5665899269422443,2.129658150938775,0.5630682239965306,0.20674354196348915,0.0
population_071_110,44109,52,2,1,0,1.1541085422106083,1.7224030173423082,0.5682944751316998,0.14580795203953467,0.0
population_071_110,44110,6,2,1,0,1.9574219205736605,2.4625895715322974,0.5051676509586369,0.18410877690686883,0.0
population_071_110,44110,8,2,1,0,1.7711602122106576,1.9774080095318503,0.2062477973211927,0.08133925633701922,0.0
