condition,true_class,seed,policy,classification_correct,classification_margin,adaptation_scale,uncertainty_scale,post_event_state_proxy_rmse,post_event_parameter_rmse,final_parameter_error,cumulative_abs_parameter_update,recovery_time,recovered,intervened
process_disturbance_boundary,process_disturbance,37121,baseline,True,1.190591136562297,1.0,1.0,0.7322594557909025,0.009122623923978671,0.00451812582398925,0.6620258145232523,0,True,False
process_disturbance_boundary,process_disturbance,37121,generic_uncertainty,True,1.190591136562297,0.25,1.5,0.5978873420052693,0.31417781171774534,0.3138704685440027,0.16550645363081307,,False,True
process_disturbance_boundary,process_disturbance,37121,probabilistic_failure_aware,True,1.190591136562297,0.1,1.25,0.6549527681261841,0.37766920750177035,0.377548187417601,0.06620258145232519,,False,True
process_disturbance_boundary,process_disturbance,37122,baseline,True,0.053402785222092186,1.0,1.0,0.6133023386177426,0.008153255882371636,0.001624213415441722,0.6378953923927959,0,True,False
process_disturbance_boundary,process_disturbance,37122,generic_uncertainty,True,0.053402785222092186,0.25,1.5,0.5007592625563654,0.314130059146485,0.31540605335386074,0.15947384809819898,,False,True
process_disturbance_boundary,process_disturbance,37122,probabilistic_failure_aware,True,0.053402785222092186,0.1,1.25,0.5485542879635469,0.37765058405471824,0.3781624213415441,0.06378953923927955,,False,True
process_disturbance_boundary,process_disturbance,37123,baseline,True,0.0972461754684042,1.0,1.0,0.6951144599061276,0.007422985203476342,0.00484213174899184,0.6428174941360524,0,True,False
process_disturbance_boundary,process_disturbance,37123,generic_uncertainty,True,0.0972461754684042,0.25,1.5,0.5675585798667764,0.3143591756417937,0.31378946706275235,0.1607043735340131,,False,True
process_disturbance_boundary,process_disturbance,37123,probabilistic_failure_aware,True,0.0972461754684042,0.1,1.25,0.6217292737972615,0.3777423855151868,0.37751578682510134,0.06428174941360525,,False,True
process_disturbance_boundary,process_disturbance,37124,baseline,True,1.42766294766435,1.0,1.0,0.8167437295389883,0.01049913257353169,0.00564002970854538,0.6869203164434753,0,True,False
process_disturbance_boundary,process_disturbance,37124,generic_uncertainty,True,1.42766294766435,0.25,1.5,0.6668684626627434,0.31390986137615046,0.3164100074271361,0.17173007911086882,,False,True
process_disturbance_boundary,process_disturbance,37124,probabilistic_failure_aware,True,1.42766294766435,0.1,1.25,0.7305177997783524,0.3775615285983429,0.3785640029708548,0.06869203164434755,,False,True
process_disturbance_boundary,process_disturbance,37125,baseline,True,2.851947435472367,1.0,1.0,0.7843498004172674,0.0124166802775052,0.0022047042220457724,0.6486299658146406,0,True,False
process_disturbance_boundary,process_disturbance,37125,generic_uncertainty,True,2.851947435472367,0.25,1.5,0.6404189302920434,0.31340533978784685,0.3155511760555111,0.16215749145366015,,False,True
process_disturbance_boundary,process_disturbance,37125,probabilistic_failure_aware,True,2.851947435472367,0.1,1.25,0.7015437887485612,0.37735912852962106,0.3782204704222045,0.06486299658146401,,False,True
process_disturbance_boundary,process_disturbance,37126,baseline,True,2.1227674695384415,1.0,1.0,0.7574433535034903,0.008596252039910435,0.012433780444101372,0.6591485035772076,0,True,False
process_disturbance_boundary,process_disturbance,37126,generic_uncertainty,True,2.1227674695384415,0.25,1.5,0.618449908382031,0.31399607183174233,0.3118915548889747,0.1647871258943019,,False,True
process_disturbance_boundary,process_disturbance,37126,probabilistic_failure_aware,True,2.1227674695384415,0.1,1.25,0.677477931015683,0.3775968988079539,0.3767566219555897,0.0659148503577208,,False,True
process_disturbance_boundary,process_disturbance,37127,baseline,True,2.7372689448667025,1.0,1.0,0.8695525482628501,0.011429721716482126,0.0015321106964797382,0.7128105751839269,0,True,False
process_disturbance_boundary,process_disturbance,37127,generic_uncertainty,True,2.7372689448667025,0.25,1.5,0.7099866825936088,0.31408232801132174,0.3153830276741201,0.17820264379598172,,False,True
process_disturbance_boundary,process_disturbance,37127,probabilistic_failure_aware,True,2.7372689448667025,0.1,1.25,0.7777514431695597,0.37762982858661326,0.37815321106964783,0.07128105751839273,,False,True
process_disturbance_boundary,process_disturbance,37128,baseline,True,3.0086973261886794,1.0,1.0,0.7220376917850541,0.008875843278204489,0.0009168600416337158,0.6405783186793178,0,True,False
process_disturbance_boundary,process_disturbance,37128,generic_uncertainty,True,3.0086973261886794,0.25,1.5,0.5895413066434441,0.3140113106126218,0.3152292150104087,0.16014457966982945,,False,True
process_disturbance_boundary,process_disturbance,37128,probabilistic_failure_aware,True,3.0086973261886794,0.1,1.25,0.6458101444593688,0.3776028521086635,0.37809168600416354,0.06405783186793186,,False,True
process_disturbance_boundary,process_disturbance,37129,baseline,True,0.29197579692800946,1.0,1.0,0.6962302627429353,0.008184716492092046,0.0013500577181013718,0.6447326358088245,0,True,False
process_disturbance_boundary,process_disturbance,37129,generic_uncertainty,True,0.29197579692800946,0.25,1.5,0.568469629068019,0.31418170416979535,0.31466248557047394,0.1611831589522061,,False,True
process_disturbance_boundary,process_disturbance,37129,probabilistic_failure_aware,True,0.29197579692800946,0.1,1.25,0.6227272781942969,0.3776711915954629,0.3778649942281901,0.06447326358088244,,False,True
process_disturbance_boundary,process_disturbance,37130,baseline,True,4.107350596502492,1.0,1.0,0.8325853419513278,0.009854836079373068,0.005202598644257761,0.685103036138939,0,True,False
