trial,audit_rows,poison_rows_recovered,unsafe_selected,total_regret
477,1576,53,392,16.20742687464437
478,1576,63,393,16.21321524468546
479,1576,64,392,16.20742687464437
480,1576,64,393,16.21321524468546
481,1576,79,392,16.210995650828668
482,1576,67,392,16.196789766255822
483,1576,63,392,16.20742687464437
484,1576,64,392,16.20742687464437
485,1576,56,392,16.20742687464437
486,1576,58,392,16.20742687464437
487,1576,65,392,16.20742687464437
488,1576,70,392,16.19915509217374
489,1576,67,392,16.20742687464437
490,1576,71,392,16.20742687464437
491,1576,64,393,16.21321524468546
492,1576,69,393,16.21321524468546
493,1576,74,393,16.21321524468546
494,1576,65,392,16.20742687464437
495,1576,71,390,16.18260050342373
496,1576,56,392,16.20742687464437
497,1576,78,390,16.156156092332473
498,1576,53,392,16.20742687464437
499,1576,69,391,16.19808338230796
500,1576,62,392,16.20742687464437
