bootstrap,primary_auc,action_only_auc,difference
290,0.831774713368651,0.7796001383934907,0.052174574975160315
291,0.8273587490490297,0.7844454511529293,0.04291329789610043
292,0.8407042296409397,0.7928636330178696,0.047840596623070164
293,0.8304304952156578,0.7864165278351776,0.044013967380480246
294,0.8248915978915028,0.7768773642460666,0.04801423364543622
295,0.8308483603208265,0.780554973712206,0.050293386608620594
296,0.8316998399226796,0.7801335681443808,0.051566271778298756
297,0.8317025483693627,0.7814477371759192,0.05025481119344355
298,0.8377085875624761,0.7911983321898108,0.04651025537266529
299,0.8329244555235973,0.7840820820290094,0.048842373494587865
300,0.8315483969645986,0.7923519817791111,0.03919641518548744
301,0.8148784440219337,0.762546960993285,0.05233148302864865
302,0.8360227408789298,0.7848287892885653,0.05119395159036455
303,0.8322988294349309,0.7846507798738926,0.0476480495610383
304,0.8315714585128935,0.7822856230942703,0.04928583541862319
305,0.8387445328875844,0.7861643048383922,0.05258022804919227
306,0.827238727992154,0.7736242257282928,0.05361450226386122
307,0.8286793153237081,0.7818927090805682,0.046786606243139905
308,0.8323367730535745,0.7830106702288043,0.049326102824770124
309,0.8234408230462319,0.7721899661946414,0.051250856851590476
310,0.8270281995837183,0.7804397385106698,0.04658846107304848
311,0.8228949137903737,0.7736725620289648,0.04922235176140888
312,0.8324256142681603,0.7813605585669124,0.05106505570124786
313,0.8319114955418854,0.7836236412638957,0.04828785427798965
314,0.826701429938357,0.7813108161540275,0.045390613784329514
315,0.8302742938193975,0.7836166041604384,0.04665768965895911
316,0.8246778302208433,0.7795148973097081,0.045162932911135156
317,0.8274400413887649,0.7789437963042912,0.0484962450844737
318,0.8238771623437134,0.7801806067164748,0.04369655562723862
319,0.8334398835906233,0.7845269913420948,0.04891289224852846
320,0.8257747074022037,0.7758405221068685,0.04993418529533522
321,0.8272379072381606,0.7827404087221163,0.04449749851604434
322,0.8403389397903929,0.7877000050608578,0.05263893472953507
323,0.822621689692159,0.7766463611611059,0.04597532853105313
324,0.8286179643491971,0.782187679891011,0.04643028445818609
325,0.8266761226756125,0.7699072177432861,0.05676890493232645
326,0.8256815780642114,0.7722844748753042,0.053397103188907225
327,0.8278825543729197,0.7778220814150161,0.05006047295790361
328,0.8297751056195058,0.7805592696402854,0.04921583597922041
329,0.8291251886801972,0.7753085214298561,0.05381666725034118
330,0.8326480955056337,0.7836275257925027,0.04902056971313096
331,0.8289616120586433,0.780678055194303,0.04828355686434027
332,0.8313208972308475,0.7804672041999761,0.050853693030871394
333,0.8224557743907381,0.768592245641426,0.053863528749312106
334,0.8322303807516491,0.7812108915227329,0.05101948922891619
335,0.8264760349235865,0.7790410304405764,0.04743500448301008
336,0.8174965794979318,0.7719122712361388,0.04558430826179294
337,0.8314270449989163,0.7805001342453199,0.050926910753596344
338,0.8307519221176881,0.7835458065282213,0.04720611558946686
339,0.8238504073692743,0.7822104249906756,0.04163998237859867
340,0.8249200348938645,0.7751532364635126,0.04976679843035181
341,0.8260777892895574,0.7816112365402506,0.04446655274930689
342,0.8294030183303639,0.7840814077737573,0.04532161055660655
343,0.8196230468386123,0.7730621729802702,0.04656087385834207
344,0.8404186190483046,0.7956237118711078,0.04479490717719681
345,0.8217491216023529,0.7727571110992459,0.048992010503106975
346,0.820916376690124,0.7743522366635436,0.04656414002658038
347,0.828526424193416,0.7806933311066577,0.047833093086758316
348,0.8266049242903095,0.7799455939020222,0.04665933038828729
349,0.831822025359703,0.7810262043970706,0.050795820962632354
350,0.834508171142725,0.7913162208251252,0.043191950317599814
