model,held_out_seed,test_rows,test_severe,test_nonsevere,balanced_accuracy,severe_recall,severe_precision,nonsevere_specificity,roc_auc
local_mean_error_only,44034,273,5,268,0.5216417910447761,0.2,0.023255813953488372,0.8432835820895522,0.5794776119402985
local_mean_error_only,44035,273,4,269,0.44981412639405205,0.0,0.0,0.8996282527881041,0.5752788104089219
local_mean_error_only,44036,276,5,271,0.41697416974169743,0.0,0.0,0.8339483394833949,0.688929889298893
local_mean_error_only,44037,273,6,267,0.6310861423220974,0.3333333333333333,0.09523809523809523,0.9288389513108615,0.8398876404494381
local_mean_error_only,44038,261,20,241,0.6920124481327801,0.55,0.21568627450980393,0.8340248962655602,0.7983402489626555
local_mean_error_only,44039,261,20,241,0.7191908713692946,0.65,0.203125,0.7883817427385892,0.8098547717842325
local_mean_error_only,44040,267,21,246,0.7955865272938443,0.7619047619047619,0.27586206896551724,0.8292682926829268,0.8670150987224158
local_mean_error_only,44041,270,18,252,0.6805555555555556,0.5,0.20454545454545456,0.8611111111111112,0.767636684303351
local_mean_error_only,44042,267,14,253,0.7323546019198193,0.5714285714285714,0.22857142857142856,0.8932806324110671,0.872953133822699
local_mean_error_only,44043,276,8,268,0.6007462686567164,0.25,0.13333333333333333,0.9514925373134329,0.8850279850746269
local_mean_error_only,44044,279,6,273,0.6373626373626373,0.3333333333333333,0.1111111111111111,0.9413919413919414,0.8956043956043956
local_mean_error_only,44045,282,9,273,0.6855921855921856,0.4444444444444444,0.16666666666666666,0.9267399267399268,0.8404558404558404
local_mean_error_only,44046,288,4,284,0.8045774647887324,0.75,0.06976744186046512,0.8591549295774648,0.8780809859154929
local_mean_error_only,44047,273,3,270,0.6185185185185185,0.3333333333333333,0.037037037037037035,0.9037037037037037,0.7432098765432098
local_mean_error_only,44048,273,5,268,0.6496268656716417,0.4,0.06896551724137931,0.8992537313432836,0.7925373134328358
local_mean_error_only,44049,282,6,276,0.6413043478260869,0.5,0.047619047619047616,0.782608695652174,0.8019323671497586
local_mean_error_only,44050,279,5,274,0.6324817518248176,0.4,0.05128205128205128,0.864963503649635,0.7948905109489052
local_mean_error_only,44051,270,10,260,0.5384615384615384,0.2,0.058823529411764705,0.8769230769230769,0.7159615384615384
local_mean_error_only,44052,267,15,252,0.6071428571428571,0.3333333333333333,0.14285714285714285,0.8809523809523809,0.7436507936507937
